t,x1,x2,m_t,y_t
1,-0.13826430117118466,0.4967141530112327,0.12345678901234567,2.1234567890123457
2,0.6476885381006925,0.5769607475978015,0.567890123456789,3.567890123456789
3,1.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
4,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
5,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
6,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
7,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
8,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
9,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
10,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
11,0.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
12,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
13,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
14,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
15,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
16,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
17,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
18,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
19,0.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
20,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
21,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
22,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
23,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
24,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
25,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
26,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
27,0.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
28,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
29,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
30,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
31,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
32,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
33,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
34,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
35,0.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
36,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
37,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
38,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
39,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
40,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
41,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
42,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
43,0.5230298564080254,-0.4712077825047715,0.8912345678901234,4.891234567890123
44,-0.23415337472333597,-0.5425957245361734,0.3456789012345678,1.3456789012345678
45,0.4967141530112327,0.12345678901234567,0.7890123456789012,3.789012345678901
46,1.5769607475978015,-0.6476885381006925,0.4567890123456789,4.456789012345679
47,-0.4712077825047715,0.5230298564080254,0.23456789012345678,1.2345678901234567
48,-0.5425957245361734,-0.23415337472333597,0.6789012345678901,2.6789012345678903
49,0.12345678901234567,0.4967141530112327,0.3456789012345678,3.3456789012345678
50,-0.6476885381006925,0.5769607475978015,0.567890123456789,2.567890123456789
